ISIN,RANK,POWERRATING
INF846K018D1,5,IN_FORM
INF209KB1O25,7,OFF_TRACK
INF179KC1GG9,5,IN_FORM
INF277K017K6,23,OFF_TRACK
INF846K01EX0,33,OUT_OF_FORM
INF209KC1597,,IN_FORM
INF194K01CA7,15,OFF_TRACK
INF194K01656,9,IN_FORM
INF754K01JK2,3,IN_FORM
INF00XX01143,16,OFF_TRACK
INF903J01NG7,13,OFF_TRACK
INF03VN01589,3,IN_FORM
INF579M01AT9,28,OFF_TRACK
INF843K01039,4,IN_FORM
INF204K01II4,4,IN_FORM
INF00XX01770,22,OFF_TRACK
INF789F01JN2,7,IN_FORM
INF846K01149,33,OUT_OF_FORM
INF205KA1338,9,OFF_TRACK
INF209KC1647,,IN_FORM
INF397L01LD9,11,OUT_OF_FORM
INF179KC1BV9,12,ON_TRACK
INF200KB1910,3,ON_TRACK
INF879O01019,2,IN_FORM
INF044D01CS1,34,ON_TRACK
INF769K01FS1,7,IN_FORM
INF174KA1UR4,,ON_TRACK
INF247L01460,17,OFF_TRACK
INF767K01GV7,7,IN_FORM
INF200KA18Z7,6,ON_TRACK
INF109K01IX4,2,IN_FORM
INF109K01506,3,ON_TRACK
INF179K01XV0,13,OUT_OF_FORM
INF754K01JJ4,3,IN_FORM
INF204KC1CF9,2,IN_FORM
INF917K01D46,16,IN_FORM
INF179K01418,11,ON_TRACK
INF846K01768,11,OFF_TRACK
INF109K014O9,9,ON_TRACK
INF761K01FM1,16,ON_TRACK
INF109K01902,2,IN_FORM
INF174KA1OQ9,,ON_TRACK
INF109KB1NO5,13,IN_FORM
INF754K01BX2,19,ON_TRACK
INF200K01305,7,IN_FORM
INF209K011W7,12,OFF_TRACK
INF769K01MM0,22,IN_FORM
INF277KA1CZ1,,ON_TRACK
INF209K01WD5,6,ON_TRACK
INF109K010N9,7,IN_FORM
INF843K01054,13,ON_TRACK
INF090I01AE7,1,IN_FORM
INF754K01QB6,,ON_TRACK
INF959L01GS4,21,ON_TRACK
INF846K01XP6,11,ON_TRACK
INF579M01AM4,16,ON_TRACK
INF179KC1GE4,5,ON_TRACK
INF174KA1EP2,7,IN_FORM
INF174KA1MC3,9,ON_TRACK
INF277KA1BD0,,IN_FORM
INF174K01DS9,8,IN_FORM
INF179KC1IP6,3,IN_FORM
INF740KA1DN4,16,ON_TRACK
INF769K01BI1,10,ON_TRACK
INF109KA1Y50,4,IN_FORM
INF769K01FP7,7,IN_FORM
INF00XX01440,21,ON_TRACK
INF789F01UI9,10,ON_TRACK
INF204KC1CE2,2,IN_FORM
INF761K01660,18,OFF_TRACK
INF789F01TO9,8,OFF_TRACK
INF204K01455,2,IN_FORM
INF090I01EA7,13,ON_TRACK
INF769K01EH7,2,IN_FORM
INF204KA1MV7,10,IN_FORM
INF754K01VC4,,ON_TRACK
INF247L01601,29,OUT_OF_FORM
INF277K01Z51,4,ON_TRACK
INF846K013W2,5,IN_FORM
INF966L01846,21,OFF_TRACK
INF109K01AT9,3,IN_FORM
INF959L01DR3,23,OFF_TRACK
INF084M01AD4,6,IN_FORM
INF251K01QY5,17,ON_TRACK
INF582M01BW5,15,OFF_TRACK
INF767K01NB5,25,OUT_OF_FORM
INF846K01B36,31,OUT_OF_FORM
INF582M01GK9,16,OFF_TRACK
INF959L01CD5,37,OUT_OF_FORM
INF209KB1Y31,21,OUT_OF_FORM
INF846K013E0,7,IN_FORM
INF789F1AZM9,3,IN_FORM
INF173K01AH0,,IN_FORM
INF194K01Y78,9,IN_FORM
INF205KA1304,9,OFF_TRACK
INF090I01882,6,IN_FORM
INF194K01Z85,10,ON_TRACK
INF179KC1GT2,10,ON_TRACK
INF200K01QS4,6,IN_FORM
INF761K01470,8,ON_TRACK
INF109KC12X4,,IN_FORM
INF903J01NB8,2,IN_FORM
INF761K01462,8,ON_TRACK
INF179KA1RZ8,5,IN_FORM
INF194KB1AK6,1,IN_FORM
INF109KC11E6,6,IN_FORM
INF204K01927,7,ON_TRACK
INF200K01QW6,5,IN_FORM
INF767K01PP0,19,ON_TRACK
INF336L01099,14,ON_TRACK
INF277K010L9,23,OFF_TRACK
INF174KA1UK9,2,IN_FORM
INF761K01FJ7,12,ON_TRACK
INF277KA1687,17,OFF_TRACK
INF917K01QN4,17,ON_TRACK
INF174KA1UA0,,IN_FORM
INF174KA1GA9,2,IN_FORM
INF397L01LI8,11,OUT_OF_FORM
INF192K01JP4,18,ON_TRACK
INF582M01EI8,21,OUT_OF_FORM
INF740K01PZ6,25,OFF_TRACK
INF760K01241,2,IN_FORM
INF204K01XN3,7,ON_TRACK
INF090I01GI5,13,ON_TRACK
INF109K01DX5,1,IN_FORM
INF174KA1WD0,,IN_FORM
INF917K01QR5,17,ON_TRACK
INF044D01997,29,OFF_TRACK
INF109K01IE4,10,IN_FORM
INF769K01EW6,27,OUT_OF_FORM
INF767K01EF5,32,OUT_OF_FORM
INF959L01DY9,30,OUT_OF_FORM
INF209KA1TR5,14,OFF_TRACK
INF204K01E54,5,IN_FORM
INF194K01V97,2,IN_FORM
INF109KC15E7,6,IN_FORM
INF200K01RX2,11,ON_TRACK
INF204KA1W28,16,OFF_TRACK
INF179K01XT4,8,ON_TRACK
INF846K013F7,5,IN_FORM
INF789F1AZL1,3,IN_FORM
INF109K01PR1,10,IN_FORM
INF740K01NZ1,13,ON_TRACK
INF179K01WA6,1,IN_FORM
INF789F01UA6,28,OUT_OF_FORM
INF00XX01945,14,ON_TRACK
INF204K01F87,9,ON_TRACK
INF204KB16V0,1,IN_FORM
INF204K01737,1,IN_FORM
INF754K01OQ9,10,ON_TRACK
INF397L01LK4,11,OUT_OF_FORM
INF754K01NN8,2,IN_FORM
INF917K01QU9,17,ON_TRACK
INF843K01KL9,4,IN_FORM
INF959L01HP8,,IN_FORM
INF179KC1HI3,6,OFF_TRACK
INF397L01JU7,22,OUT_OF_FORM
INF767K01PM7,19,ON_TRACK
INF740KA1MG9,3,IN_FORM
INF179KC1AT5,4,ON_TRACK
INF277KA1BF5,,IN_FORM
INF109K01Z30,3,ON_TRACK
INF740KA1MK1,2,IN_FORM
INF174KA1OC9,1,IN_FORM
INF204K01IT1,29,ON_TRACK
INF044D01948,34,ON_TRACK
INF204K01XD4,2,IN_FORM
INF174KA1UT0,,ON_TRACK
INF966L01341,23,OUT_OF_FORM
INF789F01JM4,7,IN_FORM
INF789F1A819,3,IN_FORM
INF336L01OA7,12,ON_TRACK
INF194KA1YD2,9,IN_FORM
INF03VN01662,2,IN_FORM
INF090I01FE6,2,IN_FORM
INF917K01AA5,7,IN_FORM
INF397L01AW2,8,IN_FORM
INF194KB1IT0,9,IN_FORM
INF740K01136,2,IN_FORM
INF109K01464,17,ON_TRACK
INF209K01WF0,16,OFF_TRACK
INF204KC1CY0,,IN_FORM
INF769K01GR1,6,OFF_TRACK
INF277KA1DZ9,15,ON_TRACK
INF789F01XA0,7,IN_FORM
INF966L01BX0,4,IN_FORM
INF959L01FP2,12,IN_FORM
INF109K019M2,7,IN_FORM
INF174K01JZ1,5,IN_FORM
INF174KA1PB8,5,IN_FORM
INF209K01YY7,10,ON_TRACK
INF090I01AD9,1,IN_FORM
INF277K019K2,23,OFF_TRACK
INF200K01UB2,7,ON_TRACK
INF174KA1MZ4,,ON_TRACK
INF209KB10G3,12,ON_TRACK
INF789F01SU8,7,OFF_TRACK
INF173K01AD9,9,OUT_OF_FORM
INF917K01QC7,13,OFF_TRACK
INF200KB1845,7,ON_TRACK
INF109KC11A4,1,IN_FORM
